Questions,Answers
“ASAN Login” sistemi nədir?,“ASAN Login” sistemi dövlət və özəl qurumlar tərəfindən göstərilən elektron xidmətlərdən istifadə etmək üçün yaradılmış vahid giriş sistemidir.
Vahid giriş sistemi nədir?,Bir yerdən qeydiyyatdan keçməklə bütün digər inteqrasiya olunmuş portalların xidmətlərindən istifadə etmək imkanıdır.
“ASAN Login” sistemində necə qeydiyyatdan keçə bilərəm?,"“ASAN Login” sistemində qeydiyyat üçün “İdentifikasiya nömrəsi ilə” bölməsinə daxil olaraq, “Qeydiyyat”düyməsini sıxıb, videoqeydiyyata başlaya bilərsiniz. Videoqeydiyyat zamanı mobil nömrənin sizin adınıza olması ilə bağlı hər hansı tələb mövcud deyil, müraciət 5 iş günü ərzində sistem operatoru tərəfindən yoxlanıldıqdan və təsdiq edildikdən sonra hesab aktivləşir."
Video müraciətlər neçə gün ərzində yoxlanılır?,Sistemdə “Video qeydiyyat” və “Şəxsi kabinetə mobil nömrə əlavəsi” üzrə müraciətlər 5 iş günü ərzində yoxlanılır.
"Eyni cinsli əkiz, üçəm, dördəm olan şəxslər “Video qeydiyyat” və ya “Mobil nömrə əlavəsi” üçün müraciət göndərə bilərmi?","Bəli, Xidmət mərkəzinə yaxınlaşaraq xidmət ala bilərlər."
Hicab taxan şəxslər üçün “Video qeydiyyat” və ya “Mobil nömrə əlavəsi” zamanı hər hansı məhdudiyyət varmı?,"Xeyr, hər hansı məhdudiyyət nəzərdə tutulmayıb."
"“Video qeydiyyat” və ya “Mobil nömrə əlavəsi” üzrə müraciətimə imtina verildiyi ilə bağlı məlumat əlaqə vasitəmə göndərildi, yenidən video müraciət edə bilərəmmi?","Bəli, yenidən müraciət edə bilərsiniz."
"“Video qeydiyyat” üçün müraciət etmişəm, müraciətim yoxlanıldığı müddətdə adıma olan mobil nömrə ilə qeydiyyatdan keçə bilərəmmi?","Bəli, “Video qeydiyyat” üçün müraciət etmisiniz, müraciətinizin statusu ilə bağlı hər hansı məlumat əldə etmədiyiniz müddətdə mobil nömrə ilə qeydiyyatdan keçə bilərsiniz."
Mobil nömrə mənə məxsus olduğu halda qeydiyyat zamanı daxil etdiyim mobil nömrənin mənim adıma olmadığı ilə bağlı xəta mesajı aldığım zaman nə etməliyəm?,"Sistemdə qeydiyyat zamanı daxil edilən mobil nömrənin istifadəçinin öz adına olması mütləqdir. Daxil etdiyiniz mobil nömrə sizə məxsus olduğu halda qeydiyyat zamanı mobil nömrənin sizin adınıza olmadığı ilə bağlı xəta mesajı alırsınızsa, bu zaman mobil operatorunuz, Məlumat Hesablama Mərkəzi (https://rabita.az/az/contactus) və ya 157 Çağrı Mərkəzi ilə əlaqə saxlaya bilərsiniz.  Əgər əlaqə saxlamaq istəməzsinizsə, bu zaman video qeydiyyat vasitəsilə qeydiyyatdan keçə bilərsiniz."
“ASAN Login” sisteminə necə giriş edə bilərəm?,"Sistemə giriş üçün 5 üsul mövcuddur. Siz hesabınıza “İdentifikasiya nömrəsi ilə”, “SİMA Rəqəmsal İmza”, “ASAN İmza”, “Elektron İmza”, “BSXM – Elektron İmza” –sı ilə giriş edə bilərsiniz. Bunun üçün müvafiq xananın üzərinə sıxmaqla açılan pəncərədə istifadəçi məlumatlarınızı daxil etməlisiniz."
Şifrəmi unutduğum zaman nə edə bilərəm?,"Sistemə giriş üçün təyin etdiyiniz şifrəni unutmusunuzsa, “İdentifikasiya nömrəsi ilə” olan bölməyə daxil olub, “Şifrəni unutmusunuz?” bölməsini sıxmalısınız. Açılan pəncərədə FİN nömrənizi və kabinetinizdə olan mobil nömrəni qeyd etməlisiniz. Daxil etdyiniz mobil nömrəyə təsdiqləmə kodu göndəriləcəkdir. Həmin təsdiqləmə kodunu daxil etdikdən sonra yeni şifrə təyin edə bilərsiniz."
Sistemə giriş etdikdən sonra qoşulmuş tətbiqlərə giriş etmək üçün sıxdıqda yenidən qoşulmuş tətbiqlər olan səhifəyə yönləndirildikdə nə etməliyəm?,Bu zaman istifadə etdiyiniz brauzerin keş yaddaşının təmizlənməsi və ya brauzerinizdə “Üçüncü tərəf çərəzlər” - ə (Third-party cookies) icazə verildiyinə əmin olmalısınız.
ASAN Login sistemi vasitəsi ilə digər bir sistemə giriş etdim. Dİgər qoşulmuş sistemlərə necə giriş edə bilərəm?,"Digər bir sistemə giriş etmək üçün daxil olduğunuz sistemdə “Çıxış” düyməsini sıxmalı, açılan “Qoşulmuş sistemlər” siyahısından daxil olmaq istədiyiniz sistemi seçməklə giriş edə bilərsiniz."
"Şifrəmi unutmuşam, bərpa etmək istəyirəm amma qeydiyyat zamanı istifadə etdiyim mobil nömrəm əlçatan deyil, nə etməliyəm?","İdentifikasiya nömrəsi ilə bölməsinə daxil olub, şifrəni unutmusunuz xanasına sıxan zaman açılan ekranda “Video vasitəsilə mobil nömrə əlavə et” linkini sıxıb, aktiv əlaqə vasitənizi kabinetinizə əlavə edə bilərsiniz."
"Video qeydiyyatdan keçən zaman yaxın tanışımın əlaqə nömrəsini yazdım, necə dəyişə bilərəm?","Sistemə giriş edib, “Mobil nömrələr” bölməsinə daxil olduqda kabinetinizdə olan mobil nömrələrin siyahısı ekrana çıxacaqdır. Buradan hansı mobil nömrəni istəsiniz kabinetinizdən silə bilərsiniz."
"Mənim mobil nömrəm və telefonum yoxdur, “ASAN Login” sistemindən necə qeydiyyatdan keçə bilərəm? Video qeydiyyatla keçən zaman problem yaşaya bilərəm?",Sistemdə qeydiyyat üçün mobil nömrənin olması mütləqdir.
"Video qeydiyyat zamanı yalnışlıqla düzgün olmayan video göndərdim, təkrar müraciət göndərə bilərəm?","Müraciətinizin cavabı gələnə qədər siz gözləməlisiniz. Daha sonra müraciətiniz sistem operatoru tərəfindən qiymətləndirildikdən sonra müraciətinizinin nəticəsi barədə məlumat daxil etdiyiniz əlaqə vasitənizə göndəriləcəkdir. Əgər qeydiyyatınız təsdiq edilməmişdirsə, yenidən müraciət edə bilərsiniz."
Fiziki qüsurlu (lal) insan necə qeydiyyatdan keçə bilər?,Xidmət mərkəzinə yaxınlaşaraq xidmət ala bilərlər.
Fiziki əngəlli (əllərini hərəkət edə bilmir) necə qeydiyyatdan keçə bilərəm?,Müraciətin göndərilməsi zamanı ailə üzvü tərəfindən dəstək göstərilə bilər və ya “Xidmət” mərkəzinə yaxınlaşaraq xidmət ala bilərsiniz.
Fiziki qüsurlu (gözdən əlil) qeydiyyatdan keçən zaman yanında olan birisi ona verilmiş sualları deyə bilərmi?,“Xidmət” mərkəzinə yaxınlaşaraq xidmət ala bilər.
"Video qeydiyyatdan keçdim, amma nömrəmi itirmişəm (yandırmışam). Müraciətimin status haqqında necə məlumat əldə edə bilərəm?","Bu barədə https://www.digital.gov.az/az/contact linkinə daxil olub, müraciət ünvanlaya və yaxud 157 Çağrı Mərkəzi ilə əlaqə saxlaya bilərsiniz."
"Üzümü estetik əməliyyat etmişəm, qeydiyyatdan keçə bilərəm?","Əməliyyatdan sonra identifikasiya sənədiniz dəyişdirilmişdirsə, qeydiyyat üçün müraciət edə bilərsiniz. Əgər vəsiqəniz dəyişməmişdirsə, “Xidmət” mərkəzinə yaxınlaşaraq xidmət ala bilərsiniz."
Hansı browserlərdə video qeydiyyat zamanı problem yaşanır?,"Sistemdə qeydiyyat üçün Safari brauzerindən istifadə edən zaman müəyyən çətinliklər yarana bilər. Bu səbəbdən Google Chrome, Mozilla, Opera kimi brauzerlərdən istifadə etməyiniz tövsiyyə olunur."
Video yükləyən zaman yüklənmə həyata keçmir bu zaman nə etməliyəm?,Videonun yüklənməsi zamanı yaranan problemlər sizin internetinizin sürəti və ya müraiətlərin çoxluğu ilə əlaqədar ola bilər. Belə olan halda biraz gözləməli videonun yüklənməsi üçün yenidən “Davam et” düyməsinə sıxmalısınız.
Mənə təsdiqləmə kodu gəlmir. Nə etməliyəm?,"Təsdiqləmə kodunun qəbulu ilə bağlı çətinlik yaşayırsınızsa ilk olaraq mobil nömrənizdə aktiv şəbəkə olduğuna əmin olmalı, daha sonra mobil operatorunuzla əlaqə saxlamalısınız. Təkrar cəhd zamanı problemlər davam edərsə bu barədə https://www.digital.gov.az/az/contact linkinə daxil olub, müraciət ünvanlaya və yaxud 157 Çağrı Mərkəzi ilə əlaqə saxlaya bilərsiniz. (157 Çağrı Mərkəzi vətəndaşın məlumatlarını (FİN və mobil) götürür bizə ötürür.)"
Şəxsiyyət vəsiqəmi dəyişmək üçün təqdim etmişəm. Bu zaman videoqeydiyyatdan yararlana bilərəm?,"“Video qeydiyyat” zamanı şəxsiyyət vəsiqənizin yanınızda olması mütləqdir. Əgər müraciət zamanı vəsiqəniz yanınızda olmazsa və videoyazı zamanı təqdim edilməzsə, sistem qeydiyyatdan keçə bilməyəcəksiniz."
Vəsiqəmin itdiyini bildiyim üçün dəyişdirməyə yeni vermişəm. Köhnə vəsiqəmi tapmışam. Köhnə vəsiqəmlə qeydiyyatdan keçə bilərəm?,Sistemdə qeydiyyat zamanı sizin aktiv vəsiqəniz olmalıdır. Qeydiyyatdan keçmək üçün yeni vəsiqənizlə müraciət edə bilərsiniz.
"Üzüm yanıb, necə müraciət edə bilərəm?",Xidmət mərkəzinə yaxınlaşaraq xidmət ala bilərsiniz.
“ASAN Login” sistemində video qeydiyyat prosesi ilə bağlı ətraflı məlumatı haradan əldə edə bilərəm?,https://youtu.be/Q3MdhOLx71Y Keçidə daxil olaraq “ASAN Login” sistemində video qeydiyyat ilə bağlı təlimat videosu ilə tanış ola bilərsiniz.
“ASAN Login” sistemində şəxsi kabinetə mobil nömrə əlavə etməyə dair məlumatı haradan əldə edə bilərəm?,https://youtu.be/-DOF_iptf-k  Keçidə daxil olaraq “ASAN Login” sistemində şəxsi kabinetə mobil nömrə əlavə edilməsi ilə bağlı təlimat videosu ilə tanış ola bilərsiniz.
Smart customs-da qeydiyyatdan keçmək istəyirəm. Nə etməliyəm?,"Smart customs portalına ASAN Login vasitəsi ilə giriş edə bilərsiniz. Öz adınıza olan telefon nömrəsi mövcuddursa mobil nömrə vasitəsi, yoxdursa video qeydiyyatdan istifadə edə bilərsiniz."
Egov.az portalında şəxsi kabineti necə aça bilərəm?,"Elektron Hökumət portalına giriş yalnız  ASAN Login vahid giriş sistemi ilə mümkündür. ASAN Login sistemində vətəndaş FİN/Şifrə, ASAN İmza, SİMA imza, SİMA TOKEN (Elektron imza), BSXM elekton imza portala daxil ola bilir"
İş yerindən arayışda əməkhaqqı göstərilir?,Müraciətçinin istəyindən asılıdır. Hər iki formada ( əməkhaqqı göstərilsin və göstərilməsin) mümkündür.
"Yeni nəsil şəxsiyyət vəsiqəsi sahibiyəm, qeydiyyat ünvanımı istəyirlər, necə əldə edə bilərəm?","Egov.az portalında qeydiyyatdan keçib, şəxsi kabinetə daxil olub və şəxsiyyət vəsiqəsi çıxarışı əldə edə bilərsiniz."
"Məcburi köçkün statusum var, amma sənədi itirmişəm, necə yoxlaya bilərəm?","ASAN login-dən qeydiyyatdan keçib, mygov.az portalına giriş edib və oradan məcburi köçkün statusu haqqında arayış əldə edə bilərsiniz."
"ASAN logində qeydiyyatım var, lakin telefon nömrəsini artıq istifadə etmirəm. Nə edə bilərəm?","ASAN login-də Mobil nömrə əlavəsinin köməyi ilə, kabinetinizə digər bir telefon nömrəsi əlavə edib giriş edə bilərsiniz."
myGov nədir?,myGov qabaqlayıcı hökumət yanaşmasının tətbiqi ilə elektron xidmətlərin göstərildiyi vətəndaş mərkəzli platformadır
myGov şəxsi kabineti nə üçündür?,"myGov vətəndaş mərkəzli xidmətlərin göstərilməsi və vətəndaşın interaktiv şəkildə məlumatlandırılması üçün nəzərdə tutulmuş şəxsi kabinetdir. Vətəndaşların myGov vasitəsi ilə dövlət qurumları tərəfindən təqdim edilən məlumatlar ilə tanış olmaları, xidmətlərə elektron şəkildə müraciət etmələri, arayış, çıxarış və digər sənədləri elektron qaydada əldə etmələri mümkündür. myGov istifadəçiləri portal vasitəsi ilə təqdim edilən məlumatlarının doğruluğunu təsdiq edə, həmçinin fərdi məlumatlarının digər qurumlara ötürülməsi prosesini tənzimləyə bilərlər"
myGov şəxsi kabinetimə necə daxil ola bilərəm?,"myGov şəxsi kabinetinizə Vahid Giriş Sistemi – “ASAN Login” vasitəsi ilə daxil ola bilərsiniz. Bunun üçün 3 giriş üsulundan (İstifadəçi FİN-i, Asan İmza və ya e-İmza ilə) birini seçməyiniz kifayətdir."
Xidmətlərdən necə istifadə edə bilərəm?,"Xidmətlərdən yararlanmaq üçün Vahid Giriş Sistemi – “ASAN Login” vasitəsi ilə myGov şəxsi kabinetinizə daxil olduqdan sonra xidmət növünü seçərək məlumatlarınızı görə, qurumlar tərəfindən gələn sorğu əsaslı məlumatlarınızı təsdiqləyə, həmçinin məlumatlar üzrə elektron çıxarış əldə edə bilərsiniz."
myGov şəxsi kabinetimdə hansı xidmətlər olacaq?,myGov şəxsi kabinetinizdə ilkin olaraq müxtəlif məlumatlarınızın əks olunduğu elektron çıxarışlar əldə edə bilərsiniz. Mütəmadi olaraq Elektron Hökumət Portalındakı xidmətlər myGov şəxsi kabinetinizə inteqrasiya ediləcəkdir. myGov şəxsi kabinetinizdə “Əsas xidmətlərim” və “Seçilmiş xidmətlərim” bölmələri mövcuddur. “Xidmət əlavə et” vasitəsi ilə ən çox istifadə etdiyiniz xidmətləri “Seçilmiş xidmətlərim” hissəsinə əlavə edə bilərsiniz.
Məlumatlarım üzrə elektron arayışı necə əldə edə bilərəm?,Məlumat səhifəsindəki çıxarış pəncərəsini açaraq sənəd növünü seçdikdən sonra müvafiq məlumatlar üzrə elektron arayışı yükləyə bilərsiniz.
“ASAN Login” ilə sistemə giriş zamanı hər hansı bir çətinlik yaranarsa nə etməliyəm?,"Sistemə giriş etdiyiniz üsuldan asılı olaraq aşağıdakı çağrı mərkəzlərindən birinə müraciət edə bilərsiniz: İstifadəçi FİN-i ilə daxil olan zaman 108 Çağrı Mərkəzi, Asan İmza üçün 195 Çağrı Mərkəzi, E-İmza üçün 157 Çağrı Mərkəzi"
"Məlumatlarımda səhvlik və ya natamamlıq varsa, nə etməliyəm?",Məlumatlarınızda aşkarladığınız səhvlik və ya natamamlıq ilə bağlı məqamlar barədə müraciətləri xidmətin“Əks əlaqə” bölməsi vasitəsi ilə məlumatı təmin edən aidyyatı quruma ünvanlaya bilərsiniz. Həmçinin sistemdən istifadə zamanı üzləşdiyiniz problemlər habelə layihənin inkişafı üçün təklif və tövsiyyələrinizi bu bölmə vasitəsi ilə bölüşməyiniz mümkündür.
“Bildirişlər” bölməsində hansı məlumatları əldə edirəm?,"""Bildirişlər” bölməsi məlumatlandırma və xatırlatma məqsədi daşıyır və sənədlərinizin dəyişdirilmə müddəti yaxınlaşdıqda, məlumatlarınız yeniləndikdə və yeni xidmətlər əlavə edildikdə sizə bununla əlaqədar bildiriş göndərilir."
myGov şəxsi kabinetimə hansı hallarda yenidən giriş etməliyəm?,"“ASAN Login” vasitəsi ilə myGov şəxsi kabinetinizə bir dəfə daxil olmağınız kifayətdir. Əgər sistemdən çıxış etməmisinizsə, eyni cihazla yenidən daxil olmağınıza ehtiyac yoxdur. “ASAN Login” vasitəsilə daxil olduğunuz digər sistemlərə də sesiyanı yekunlaşdırmadığınız təqdirdə eyni cizahla təkrar giriş etmək məcburiyyəti yaranmır."
